task_id,timestamp,task_type,amount,deadline_hours,is_recurring,time_of_day,day_of_week,intervention_label,_generating_rule
synth_00000,2026-01-01T08:00:00,appointment,0.0,1.2,0,8,1,1,non_financial_but_imminent
synth_00001,2026-01-01T17:00:00,paperwork,0.0,54.2,0,17,0,0,non_financial_low_risk
synth_00002,2026-01-01T22:00:00,bill_payment,54.64,44.2,0,22,5,0,low_amount
synth_00003,2026-01-01T05:00:00,bill_payment,129.96,97.7,0,5,5,0,low_amount
synth_00004,2026-01-01T11:00:00,bill_payment,15.31,5.2,0,11,6,1,deadline_override
synth_00005,2026-01-01T02:00:00,bill_payment,30.15,6.4,0,2,4,0,low_amount
synth_00006,2026-01-01T11:00:00,appointment,0.0,104.0,0,11,4,0,non_financial_low_risk
synth_00007,2026-01-01T03:00:00,bill_payment,567.37,202.3,0,3,3,0,low_amount
synth_00008,2026-01-01T11:00:00,appointment,0.0,21.8,0,11,2,0,non_financial_low_risk
synth_00009,2026-01-01T12:00:00,bill_payment,190.27,62.7,1,12,2,0,recurring_suppressed
synth_00010,2026-01-01T21:00:00,appointment,0.0,39.1,0,21,2,0,non_financial_low_risk
synth_00011,2026-01-01T01:00:00,paperwork,0.0,12.5,0,1,6,0,non_financial_low_risk
synth_00012,2026-01-01T20:00:00,bill_payment,418.36,51.1,0,20,3,0,low_amount
synth_00013,2026-01-01T18:00:00,bill_payment,404.56,66.0,0,18,3,0,low_amount
synth_00014,2026-01-01T15:00:00,reminder,0.0,7.1,0,15,0,0,non_financial_low_risk
synth_00015,2026-01-01T05:00:00,reminder,0.0,8.0,0,5,6,0,non_financial_low_risk
synth_00016,2026-01-01T19:00:00,appointment,0.0,23.3,0,19,3,0,non_financial_low_risk
synth_00017,2026-01-01T00:00:00,reminder,0.0,94.6,0,0,5,0,non_financial_low_risk
synth_00018,2026-01-01T08:00:00,appointment,0.0,37.0,0,8,6,0,non_financial_low_risk
synth_00019,2026-01-01T08:00:00,bill_payment,118.47,147.6,0,8,4,0,low_amount
synth_00020,2026-01-02T20:00:00,appointment,0.0,5.4,0,20,2,0,non_financial_low_risk
synth_00021,2026-01-02T11:00:00,appointment,0.0,10.6,0,11,6,0,non_financial_low_risk
synth_00022,2026-01-02T00:00:00,reminder,0.0,122.7,0,0,4,0,non_financial_low_risk
synth_00023,2026-01-02T02:00:00,bill_payment,366.43,2.9,0,2,0,1,deadline_override
synth_00024,2026-01-02T17:00:00,paperwork,0.0,183.2,0,17,6,0,non_financial_low_risk
synth_00025,2026-01-02T05:00:00,appointment,0.0,140.9,0,5,2,0,non_financial_low_risk
synth_00026,2026-01-02T17:00:00,appointment,0.0,160.0,0,17,6,0,non_financial_low_risk
synth_00027,2026-01-02T07:00:00,bill_payment,245.51,35.0,1,7,0,0,recurring_suppressed
synth_00028,2026-01-02T07:00:00,appointment,0.0,12.6,0,7,0,0,non_financial_low_risk
synth_00029,2026-01-02T01:00:00,appointment,0.0,12.5,0,1,6,0,non_financial_low_risk
synth_00030,2026-01-02T15:00:00,appointment,0.0,15.7,0,15,1,0,non_financial_low_risk
synth_00031,2026-01-02T18:00:00,paperwork,0.0,102.7,0,18,3,0,non_financial_low_risk
synth_00032,2026-01-02T03:00:00,appointment,0.0,25.1,0,3,0,0,non_financial_low_risk
synth_00033,2026-01-02T20:00:00,bill_payment,43.29,2.7,0,20,0,1,deadline_override
synth_00034,2026-01-02T03:00:00,paperwork,0.0,77.4,0,3,1,0,non_financial_low_risk
synth_00035,2026-01-02T05:00:00,appointment,0.0,7.2,0,5,2,0,non_financial_low_risk
synth_00036,2026-01-02T17:00:00,reminder,0.0,3.8,0,17,0,0,non_financial_low_risk
synth_00037,2026-01-02T02:00:00,reminder,0.0,86.8,0,2,6,0,non_financial_low_risk
synth_00038,2026-01-02T12:00:00,bill_payment,143.39,24.6,1,12,0,0,recurring_suppressed
synth_00039,2026-01-02T17:00:00,bill_payment,396.87,26.4,0,17,5,0,low_amount
synth_00040,2026-01-03T18:00:00,bill_payment,205.69,66.2,1,18,3,0,recurring_suppressed
synth_00041,2026-01-03T16:00:00,reminder,0.0,8.2,0,16,0,0,non_financial_low_risk
synth_00042,2026-01-03T01:00:00,bill_payment,10,40.5,0,1,4,0,low_amount
synth_00043,2026-01-03T10:00:00,appointment,0.0,40.0,0,10,2,0,non_financial_low_risk
synth_00044,2026-01-03T12:00:00,paperwork,0.0,13.1,0,12,1,0,non_financial_low_risk
synth_00045,2026-01-03T18:00:00,bill_payment,36.67,3.6,0,18,0,1,deadline_override
synth_00046,2026-01-03T19:00:00,bill_payment,110.79,86.1,0,19,6,0,low_amount
synth_00047,2026-01-03T04:00:00,bill_payment,348.66,52.3,0,4,2,0,low_amount
synth_00048,2026-01-03T06:00:00,bill_payment,170.38,44.6,0,6,5,0,low_amount
synth_00049,2026-01-03T13:00:00,bill_payment,118.08,89.8,1,13,6,0,recurring_suppressed
