task_id,action_type,agent_confidence,user_past_accept_rate,action_reversibility,deviation_from_routine,accept_label,_generating_rule
style_synth_00000,schedule_event,0.602,0.835,0.03,0.135,0,risky_irreversible_low_conf
style_synth_00001,send_reminder,0.685,0.684,0.359,0.436,0,low_confidence_default_reject
style_synth_00002,reorganize_files,0.448,0.774,0.773,0.383,0,low_confidence_default_reject
style_synth_00003,schedule_event,0.621,0.461,0.685,0.613,0,novel_action_distrust
style_synth_00004,draft_message,0.47,0.246,0.143,0.117,0,risky_irreversible_low_conf
style_synth_00005,send_reminder,0.88,0.88,0.996,0.238,1,high_trust_high_conf
style_synth_00006,draft_message,0.861,0.091,0.762,0.256,0,low_trust_user
style_synth_00007,pay_bill,0.563,0.242,0.832,0.115,0,low_trust_user
style_synth_00008,reorganize_files,0.792,0.779,0.607,0.361,1,high_trust_high_conf
style_synth_00009,draft_message,0.878,0.64,0.071,0.204,1,confident_default_accept
style_synth_00010,pay_bill,0.624,0.826,0.407,0.117,0,low_confidence_default_reject
style_synth_00011,schedule_event,0.92,0.63,0.449,0.325,1,confident_default_accept
style_synth_00012,send_reminder,0.521,0.488,0.481,0.575,0,low_confidence_default_reject
style_synth_00013,draft_message,0.568,0.455,0.748,0.073,0,low_confidence_default_reject
style_synth_00014,send_reminder,0.47,0.418,0.419,0.263,0,low_confidence_default_reject
style_synth_00015,draft_message,0.64,0.365,0.349,0.108,0,low_confidence_default_reject
style_synth_00016,draft_message,0.663,0.63,0.272,0.446,0,risky_irreversible_low_conf
style_synth_00017,reorganize_files,0.904,0.533,0.561,0.085,0,confident_default_accept
style_synth_00018,draft_message,0.895,0.574,0.21,0.122,1,confident_default_accept
style_synth_00019,send_reminder,0.876,0.578,0.735,0.137,0,confident_default_accept
style_synth_00020,reorganize_files,0.644,0.922,0.328,0.615,0,novel_action_distrust
style_synth_00021,send_reminder,0.621,0.344,0.436,0.062,0,low_confidence_default_reject
style_synth_00022,pay_bill,0.583,0.394,0.309,0.301,0,low_confidence_default_reject
style_synth_00023,reorganize_files,0.709,0.45,0.465,0.266,1,confident_default_accept
style_synth_00024,pay_bill,0.678,0.489,0.807,0.288,0,low_confidence_default_reject
style_synth_00025,reorganize_files,0.567,0.544,0.518,0.04,0,low_confidence_default_reject
style_synth_00026,send_reminder,0.837,0.552,0.744,0.353,1,confident_default_accept
style_synth_00027,send_reminder,0.738,0.649,0.153,0.193,1,risky_irreversible_low_conf
style_synth_00028,reorganize_files,0.694,0.273,0.538,0.5,0,low_trust_user
style_synth_00029,reorganize_files,0.458,0.543,0.084,0.359,0,risky_irreversible_low_conf
style_synth_00030,reorganize_files,0.723,0.651,0.781,0.523,1,confident_default_accept
style_synth_00031,pay_bill,0.765,0.753,0.929,0.361,1,high_trust_high_conf
style_synth_00032,send_reminder,0.92,0.862,0.783,0.249,1,high_trust_high_conf
style_synth_00033,reorganize_files,0.831,0.703,0.731,0.19,1,high_trust_high_conf
style_synth_00034,schedule_event,0.719,0.429,0.556,0.378,1,confident_default_accept
style_synth_00035,pay_bill,0.769,0.282,0.582,0.294,0,low_trust_user
style_synth_00036,reorganize_files,0.85,0.271,0.216,0.345,0,low_trust_user
style_synth_00037,pay_bill,0.553,0.426,0.103,0.032,0,risky_irreversible_low_conf
style_synth_00038,draft_message,0.947,0.287,0.994,0.098,0,low_trust_user
style_synth_00039,send_reminder,0.777,0.803,0.099,0.525,0,risky_irreversible_low_conf
style_synth_00040,send_reminder,0.796,0.669,0.924,0.406,1,confident_default_accept
style_synth_00041,send_reminder,0.749,0.284,0.921,0.314,0,low_trust_user
style_synth_00042,send_reminder,0.94,0.738,0.836,0.399,1,high_trust_high_conf
style_synth_00043,reorganize_files,0.816,0.588,0.105,0.134,0,risky_irreversible_low_conf
style_synth_00044,send_reminder,0.462,0.907,0.623,0.513,0,low_confidence_default_reject
